WF 0.000831 0.012174 0.063712 0.077723 0.032821 0.006185 0.010865 0.027395 0.028228 0.017586 0.012034 0.015528 0.013835 0.025458 0.019802 0.018581 0.019844 0.012130 0.013584 0.026140 0.021296 0.021151 0.008090 0.023514 0.022320 0.019046 0.019906 0.015747 0.012489 0.021737 0.021016 0.014694 0.019914 0.015401 0.023934 0.013584 0.016224 0.021149 0.020063 0.017451 0.018026 0.015414 0.014540 0.024497 0.018558 0.015478 0.016491
IVL 0.541434 0.491231 0.252391 0.109014 0.135271 0.167811 0.227737 0.150219 0.106133 0.117619 0.163442 0.171784 0.165575 0.120891 0.149996 0.145929 0.155328 0.157366 0.144779 0.152131 0.141093 0.132304 0.151527 0.155581 0.159515 0.130791 0.150101 0.150055 0.162464 0.128750 0.143604 0.159601 0.142845 0.153234 0.141487 0.166460 0.137268 0.150288 0.158679 0.154447 0.121953 0.158576 0.149359 0.164092 0.136177 0.141509 0.158716
ED 0.053532 0.060121 0.060105 0.077286 0.090703 0.126574 0.139329 0.206241 0.206758 0.168302 0.174183 0.178623 0.194896 0.181121 0.174791 0.183908 0.193813 0.181898 0.183092 0.171518 0.181486 0.182010 0.190796 0.188656 0.183955 0.178918 0.174832 0.182184 0.185939 0.185369 0.195634 0.182720 0.176495 0.169798 0.184709 0.179761 0.196517 0.182599 0.175012 0.173316 0.189246 0.187632 0.184317 0.177194 0.184938 0.182194 0.193776
K 0.047956 0.058761 0.042934 0.039680 0.069454 0.109466 0.130265 0.137634 0.105449 0.101218 0.096546 0.114284 0.131541 0.111831 0.099450 0.108269 0.118257 0.115959 0.110705 0.122743 0.117392 0.101461 0.100657 0.121759 0.116324 0.112739 0.109827 0.112428 0.107481 0.125637 0.111871 0.107745 0.107419 0.118653 0.126598 0.103450 0.109397 0.107460 0.106840 0.124465 0.120317 0.106183 0.100570 0.113603 0.116260 0.108629 0.126757
M 0.167397 0.053654 0.014193 0.009097 0.011427 0.030305 0.020427 0.007659 0.017390 0.017254 0.019899 0.010369 0.009624 0.029009 0.016160 0.018487 0.014086 0.016332 0.011671 0.011594 0.023967 0.019571 0.012898 0.012096 0.014709 0.023865 0.019462 0.008160 0.014410 0.014863 0.026411 0.018202 0.015100 0.011218 0.016363 0.011275 0.021341 0.018851 0.010564 0.020470 0.011435 0.020593 0.013541 0.016012 0.013724 0.023165 0.013096
NQ 0.040598 0.052968 0.071016 0.080067 0.165244 0.227809 0.157418 0.100575 0.101699 0.163060 0.151455 0.137558 0.111859 0.138488 0.136028 0.142982 0.134371 0.133418 0.131870 0.132825 0.141248 0.135076 0.130016 0.135347 0.135341 0.155354 0.130285 0.128817 0.127417 0.142432 0.136400 0.132590 0.143883 0.124660 0.126884 0.139536 0.138694 0.138777 0.141549 0.133805 0.137844 0.123012 0.138926 0.134103 0.143894 0.135933 0.123927
S 0.027213 0.044775 0.080284 0.248314 0.221697 0.072181 0.049046 0.066671 0.128046 0.111193 0.077791 0.066773 0.088577 0.108732 0.094727 0.075067 0.071461 0.096767 0.095293 0.080573 0.079567 0.091557 0.102258 0.080016 0.065583 0.094828 0.101782 0.086682 0.074828 0.083692 0.089938 0.098290 0.092360 0.073589 0.082060 0.108189 0.083579 0.077825 0.083452 0.091860 0.099625 0.086209 0.075911 0.083035 0.106753 0.081242 0.077695
R 0.044297 0.036401 0.039035 0.039276 0.044296 0.056541 0.084575 0.097428 0.106867 0.098982 0.097241 0.090949 0.083855 0.086582 0.107178 0.107162 0.087181 0.074785 0.097792 0.096968 0.107684 0.097402 0.094961 0.090606 0.085350 0.090730 0.095808 0.101910 0.095626 0.089341 0.090747 0.093851 0.101734 0.095167 0.088138 0.092189 0.091140 0.090636 0.094804 0.091918 0.093913 0.094243 0.095778 0.090857 0.095302 0.099883 0.087683
PG 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
ACT 0.065717 0.169825 0.343663 0.255492 0.154649 0.117166 0.116557 0.151524 0.145948 0.139878 0.131679 0.151355 0.134039 0.131913 0.147191 0.136028 0.142767 0.119862 0.154399 0.152371 0.130233 0.138132 0.136821 0.136291 0.158918 0.127766 0.128142 0.147890 0.145805 0.154339 0.123569 0.129748 0.127348 0.167236 0.146913 0.132416 0.135675 0.146609 0.148216 0.126177 0.142038 0.130924 0.165223 0.134856 0.123416 0.142510 0.140058
