WF 0.058547 0.050199 0.038350 0.034504 0.037377 0.044750 0.058985 0.052233 0.046323 0.032320 0.047648 0.044351 0.044777 0.044102 0.045084 0.043952 0.040924 0.045708 0.042983 0.049198 0.047039 0.036505 0.041727 0.041720 0.052729 0.051265 0.039272 0.043494 0.045209 0.043612 0.040990 0.046791 0.042128 0.046191 0.042619 0.046296 0.045511 0.042936 0.045241 0.040769 0.042163 0.045533 0.047941 0.052896 0.043130 0.043061 0.046938
IVL 0.518541 0.530989 0.546553 0.512145 0.507372 0.518265 0.504598 0.514638 0.513317 0.505985 0.491714 0.515686 0.499360 0.505412 0.520986 0.509590 0.502586 0.501419 0.514671 0.526205 0.496398 0.498182 0.497242 0.518165 0.529850 0.487133 0.503186 0.523413 0.503617 0.479940 0.530941 0.517337 0.493329 0.508001 0.489368 0.530494 0.537261 0.513950 0.529003 0.490554 0.481060 0.500133 0.520052 0.517536 0.529517 0.498811 0.513660
ED 0.025650 0.036309 0.041416 0.048992 0.066332 0.085699 0.083710 0.064006 0.064698 0.075796 0.075455 0.079025 0.072540 0.074985 0.080421 0.082350 0.068880 0.064099 0.070748 0.074127 0.086610 0.080634 0.074306 0.074066 0.068044 0.072946 0.073391 0.072477 0.079201 0.083631 0.068704 0.073231 0.087523 0.071646 0.072235 0.064871 0.074045 0.063314 0.076347 0.086371 0.077842 0.074722 0.069007 0.075762 0.071371 0.076346 0.073657
K 0.034389 0.028826 0.020804 0.025487 0.029478 0.048122 0.036553 0.034004 0.034148 0.032956 0.033166 0.038578 0.037376 0.036981 0.030003 0.038319 0.042664 0.043587 0.030218 0.030001 0.031211 0.038905 0.036153 0.034284 0.033721 0.034484 0.037356 0.040275 0.035397 0.035401 0.031465 0.033409 0.031224 0.035921 0.038884 0.034631 0.037677 0.038870 0.038201 0.030787 0.033435 0.034336 0.034263 0.043912 0.026950 0.035314 0.035419
M 0.148717 0.057497 0.015039 0.009098 0.015464 0.016124 0.024428 0.017529 0.022143 0.019165 0.027090 0.015528 0.020814 0.016491 0.017609 0.022565 0.019116 0.013483 0.024128 0.023525 0.019381 0.015725 0.023387 0.015089 0.018745 0.029515 0.012943 0.021229 0.022034 0.025120 0.017090 0.016785 0.015238 0.018180 0.023855 0.021934 0.016589 0.019732 0.016303 0.021668 0.022081 0.018921 0.019364 0.018963 0.015471 0.020610 0.024608
NQ 0.006850 0.028166 0.042596 0.063145 0.051459 0.031403 0.037962 0.044900 0.047747 0.047809 0.038726 0.038873 0.045854 0.035559 0.044791 0.049125 0.041945 0.053984 0.036008 0.032182 0.040484 0.044103 0.048421 0.045982 0.038402 0.044612 0.043556 0.037205 0.041108 0.046811 0.042256 0.045764 0.043771 0.037763 0.040637 0.039268 0.039090 0.048336 0.039339 0.047324 0.054192 0.040331 0.032601 0.029230 0.051820 0.051907 0.043424
S 0.047059 0.056496 0.065232 0.057643 0.050690 0.045471 0.050656 0.060139 0.051287 0.057528 0.053162 0.048956 0.041502 0.062192 0.057760 0.053661 0.051330 0.049428 0.060135 0.034801 0.057655 0.055926 0.055587 0.056910 0.045282 0.051371 0.048198 0.045239 0.060907 0.066975 0.044359 0.050313 0.054134 0.055057 0.059298 0.042927 0.047044 0.051959 0.047658 0.051078 0.070442 0.047629 0.053999 0.045861 0.057014 0.056558 0.040179
R 0.002239 0.016988 0.028703 0.026599 0.022323 0.019797 0.023093 0.031412 0.027760 0.021330 0.028013 0.027796 0.027114 0.023415 0.029687 0.022531 0.023997 0.021500 0.035027 0.030393 0.034536 0.023218 0.026460 0.023194 0.026238 0.030491 0.023008 0.026307 0.020719 0.027732 0.031713 0.029841 0.026081 0.024372 0.027427 0.021348 0.026983 0.027908 0.023123 0.022678 0.026743 0.030846 0.028835 0.020886 0.028304 0.026043 0.028799
PG 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
ACT 0.149021 0.164537 0.165991 0.172675 0.168723 0.156164 0.145274 0.146944 0.153925 0.161174 0.166378 0.156886 0.168412 0.156681 0.138767 0.140467 0.168231 0.166016 0.150702 0.162909 0.156016 0.163568 0.156736 0.146546 0.154899 0.163226 0.179698 0.149979 0.147274 0.153644 0.161150 0.150455 0.162765 0.159215 0.169272 0.154267 0.149976 0.153755 0.143076 0.164191 0.156061 0.163921 0.160046 0.159768 0.134316 0.149014 0.154545
