ALA	0.0444
CYS	0.0034
THR	0.0791
SER	0.0874
GLU	0.1110
ASP	0.0555
ASN	0.0759
GLN	0.0648
ILE	0.0410
VAL	0.0565
LEU	0.0428
MET	0.0140
HID	0.0001
HIE	0.0044
HIP	0.0527
ARG	0.0607
LYS	0.1296
TRP	0.0008
PHE	0.0211
TYR	0.0042
GLY	0.0311
PRO	0.0184
