WF 0.002734 0.007057 0.021765 0.077809 0.046188 0.011694 0.012028 0.011409 0.023283 0.029167 0.015323 0.015751 0.013749 0.017335 0.019798 0.024458 0.013301 0.016570 0.020437 0.014584 0.022577 0.017505 0.016698 0.017930 0.015024 0.015201 0.026463 0.020041 0.013822 0.019790 0.016604 0.016979 0.019032 0.018570 0.018698 0.014320 0.016648 0.020484 0.018345 0.017715 0.013826 0.021539 0.016736 0.017261 0.019731 0.016956 0.022067
IVL 0.534254 0.467236 0.284537 0.126278 0.128006 0.152008 0.207520 0.167834 0.127691 0.120184 0.151241 0.153794 0.166917 0.144257 0.137731 0.136054 0.165964 0.142954 0.161130 0.141963 0.136410 0.154747 0.141945 0.136388 0.160024 0.160501 0.135132 0.140653 0.157471 0.144279 0.145577 0.148783 0.172315 0.142351 0.138928 0.137320 0.151358 0.152565 0.132390 0.169996 0.151924 0.154884 0.132727 0.134625 0.155012 0.164148 0.145100
ED 0.046637 0.059416 0.069323 0.083826 0.096685 0.117708 0.136352 0.194232 0.215443 0.210915 0.180394 0.170295 0.173739 0.194750 0.187967 0.187496 0.178915 0.168361 0.183774 0.175325 0.181991 0.173159 0.187507 0.179227 0.191802 0.196286 0.200615 0.171487 0.165211 0.158995 0.199143 0.199490 0.181985 0.174009 0.184721 0.175426 0.182860 0.194409 0.188344 0.176680 0.164738 0.184689 0.195603 0.200797 0.183299 0.175311 0.160829
K 0.057063 0.048974 0.051891 0.049576 0.065989 0.089861 0.120191 0.119290 0.128786 0.105803 0.106331 0.090543 0.118535 0.135605 0.110603 0.111148 0.101467 0.110230 0.120476 0.129887 0.109119 0.099867 0.109490 0.111245 0.106493 0.108450 0.119210 0.119987 0.105607 0.116823 0.105291 0.130627 0.105159 0.112304 0.110171 0.130789 0.096206 0.102543 0.122209 0.127633 0.104009 0.113929 0.106594 0.107394 0.115792 0.115891 0.123026
M 0.163627 0.072268 0.020196 0.004789 0.005979 0.042427 0.037561 0.017748 0.009865 0.006672 0.010629 0.040306 0.024799 0.012280 0.012577 0.007787 0.018157 0.024355 0.014952 0.017153 0.010054 0.021711 0.017978 0.011235 0.015980 0.016322 0.019675 0.010711 0.020495 0.019398 0.014473 0.016166 0.011057 0.012482 0.018474 0.022367 0.017245 0.017371 0.012111 0.006700 0.020153 0.028256 0.015866 0.013478 0.016875 0.011257 0.017050
NQ 0.044396 0.046467 0.073191 0.085623 0.188472 0.217760 0.144654 0.113851 0.110599 0.141509 0.147733 0.132566 0.117746 0.133980 0.143529 0.152453 0.129220 0.128996 0.122729 0.144881 0.143113 0.153721 0.125487 0.151977 0.134940 0.128160 0.123508 0.144769 0.145780 0.137339 0.135500 0.115300 0.149534 0.137677 0.130323 0.133108 0.132126 0.134750 0.134391 0.147022 0.149361 0.112156 0.133191 0.142775 0.144551 0.125461 0.141740
S 0.024134 0.049675 0.102023 0.235976 0.201898 0.080006 0.059152 0.065344 0.094470 0.093455 0.099817 0.076174 0.086518 0.072765 0.098291 0.092886 0.090136 0.081278 0.087651 0.092801 0.093103 0.079811 0.082174 0.098482 0.087490 0.086286 0.074636 0.086259 0.096421 0.099213 0.077276 0.085961 0.096565 0.084587 0.076220 0.084986 0.102063 0.090559 0.083508 0.072388 0.100383 0.090414 0.076425 0.091038 0.091493 0.089388 0.082532
R 0.039944 0.044813 0.042507 0.038140 0.048956 0.059705 0.069070 0.098328 0.101475 0.104071 0.100920 0.094450 0.088358 0.091528 0.100545 0.093000 0.098526 0.087680 0.086233 0.079547 0.102640 0.099834 0.106566 0.084858 0.092366 0.098170 0.096317 0.095430 0.089907 0.092218 0.087913 0.082676 0.098137 0.104262 0.100615 0.081527 0.101803 0.096216 0.093619 0.082736 0.096999 0.101062 0.095749 0.092730 0.085485 0.097896 0.088162
PG 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
ACT 0.071115 0.182126 0.303380 0.257993 0.156626 0.126811 0.131224 0.150189 0.133929 0.131510 0.127064 0.160354 0.137582 0.138416 0.132761 0.131419 0.143707 0.152740 0.141495 0.139957 0.137946 0.131443 0.147100 0.145648 0.132452 0.125616 0.149092 0.144593 0.135386 0.142246 0.152433 0.139743 0.118743 0.144147 0.138666 0.155453 0.130479 0.139929 0.142851 0.138253 0.136254 0.128971 0.164777 0.134614 0.124123 0.145077 0.147023
Y 0.005556 0.003557 0.006144 0.006657 0.011611 0.017610 0.019687 0.011460 0.009554 0.011696 0.008302 0.013500 0.016033 0.010594 0.008633 0.008382 0.014508 0.026891 0.011127 0.007631 0.011127 0.013123 0.015600 0.011711 0.012467 0.014187 0.007686 0.008690 0.015375 0.017695 0.010485 0.013817 0.004164 0.016955 0.020078 0.017950 0.011891 0.008868 0.013533 0.009688 0.008050 0.015400 0.012661 0.011397 0.011909 0.011576 0.014665
Hhj 0.010539 0.018412 0.025041 0.033332 0.049590 0.084411 0.062561 0.050315 0.044904 0.045018 0.052245 0.052268 0.056023 0.048490 0.047565 0.054917 0.046098 0.059944 0.049996 0.056271 0.051920 0.055077 0.049456 0.051297 0.050961 0.050819 0.047667 0.057382 0.054525 0.052003 0.055304 0.050459 0.043308 0.052658 0.063106 0.046754 0.057322 0.042307 0.058699 0.051188 0.054302 0.048701 0.049671 0.053892 0.051730 0.047039 0.057806
