WF 0.056895 0.054321 0.042417 0.031147 0.039211 0.041409 0.050037 0.044386 0.043391 0.052174 0.047749 0.037913 0.046084 0.035775 0.045788 0.051299 0.052323 0.045139 0.042303 0.044013 0.039403 0.045894 0.045031 0.046567 0.040808 0.040514 0.034792 0.060102 0.039521 0.036355 0.048902 0.048838 0.049627 0.034516 0.044762 0.047227 0.049507 0.047061 0.043549 0.044318 0.044135 0.045106 0.041843 0.043420 0.046336 0.036760 0.044520
IVL 0.522100 0.542067 0.559195 0.508159 0.503156 0.545006 0.505550 0.492854 0.478021 0.520354 0.516885 0.508136 0.513596 0.510536 0.506834 0.501079 0.517591 0.508246 0.478961 0.525842 0.494590 0.506040 0.518764 0.511660 0.505550 0.498691 0.497593 0.482355 0.523186 0.527261 0.512547 0.517038 0.502109 0.492853 0.516940 0.522173 0.483385 0.503217 0.499645 0.518686 0.525265 0.511644 0.500791 0.479627 0.490948 0.513338 0.518511
ED 0.027198 0.036705 0.031404 0.027738 0.079521 0.097666 0.106862 0.081582 0.056622 0.060898 0.080033 0.081875 0.072118 0.076193 0.076464 0.079525 0.067552 0.074553 0.065452 0.078573 0.080902 0.080398 0.078366 0.065415 0.070596 0.073787 0.077167 0.080600 0.076687 0.074685 0.070771 0.072030 0.069458 0.073322 0.081099 0.067629 0.092140 0.072093 0.077095 0.064005 0.070546 0.077166 0.073169 0.076456 0.069298 0.082354 0.077656
K 0.034518 0.017896 0.013417 0.028086 0.054171 0.049175 0.034130 0.028327 0.038705 0.030846 0.043092 0.035480 0.037803 0.029773 0.037644 0.036466 0.032240 0.029151 0.037496 0.041338 0.036391 0.035775 0.034942 0.030312 0.044956 0.030866 0.035555 0.038643 0.040934 0.034359 0.028144 0.033835 0.040331 0.044393 0.038260 0.029367 0.028004 0.033554 0.042315 0.048452 0.032566 0.025884 0.031522 0.042179 0.042836 0.038300 0.041447
M 0.145957 0.061516 0.011097 0.008292 0.013547 0.019170 0.025127 0.027276 0.017102 0.014934 0.016498 0.013136 0.030407 0.026001 0.012863 0.025107 0.016865 0.023338 0.009410 0.025202 0.034115 0.018060 0.016947 0.018044 0.018550 0.020068 0.023368 0.025526 0.015978 0.013786 0.014301 0.024289 0.029775 0.022519 0.012202 0.021382 0.026508 0.017270 0.014975 0.015406 0.024750 0.018000 0.018421 0.027218 0.020228 0.015597 0.018345
NQ 0.006828 0.016102 0.055217 0.083005 0.046518 0.019714 0.033401 0.060196 0.067180 0.032147 0.032407 0.045324 0.046556 0.049289 0.045608 0.035510 0.032482 0.043974 0.067852 0.034437 0.038498 0.037248 0.038071 0.057146 0.041808 0.041046 0.047406 0.039410 0.029326 0.043651 0.048763 0.049381 0.047510 0.038597 0.038422 0.039307 0.048377 0.048008 0.033659 0.045727 0.045015 0.034238 0.042962 0.047134 0.051975 0.037575 0.038261
S 0.047561 0.064466 0.049937 0.051350 0.047973 0.038717 0.048166 0.049285 0.058553 0.057923 0.037308 0.059948 0.050305 0.060323 0.044863 0.049496 0.054375 0.057954 0.060432 0.051913 0.046452 0.042686 0.048397 0.057452 0.058924 0.061489 0.058751 0.044251 0.052975 0.048225 0.053615 0.050340 0.046520 0.054731 0.048857 0.049442 0.064485 0.042986 0.055748 0.052625 0.046979 0.065167 0.053842 0.049132 0.049218 0.058664 0.051320
R 0.000422 0.029457 0.034990 0.042522 0.031180 0.018708 0.019575 0.029436 0.034293 0.034231 0.021527 0.021320 0.022741 0.025038 0.020677 0.027869 0.037676 0.029132 0.025781 0.021776 0.023487 0.027732 0.032121 0.026966 0.021516 0.023841 0.023242 0.031867 0.028480 0.033908 0.022317 0.021135 0.024848 0.026082 0.030591 0.026377 0.023160 0.032332 0.025483 0.021814 0.023247 0.035071 0.029912 0.023788 0.022034 0.026644 0.026541
PG 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
ACT 0.148961 0.155123 0.167364 0.174890 0.139342 0.139805 0.132572 0.139910 0.172000 0.162358 0.160783 0.149187 0.145551 0.143798 0.174660 0.159074 0.154658 0.144571 0.163008 0.146722 0.167011 0.168423 0.151459 0.143653 0.158498 0.175380 0.152331 0.170289 0.152477 0.148400 0.152606 0.147411 0.164063 0.164762 0.151814 0.151794 0.145021 0.158157 0.173438 0.157231 0.144662 0.145290 0.168985 0.168613 0.172996 0.143887 0.152595
